id	wSA	nwSA	wTH	nwTH	wSA2	nwSA2	wTH2	nwTH2
parsopercularis	0.9923616	0.802215395	0.1489406	0.702846109	0.009693028	0.077857056	0.355458	0.637888253
parsorbitalis	0.01565944	0.185318348	0.0863073	0.930036469	0.07762989	0.005241033	0.62002	0.422439393
parstriangularis	0.01691418	0.579974298	0.9855699	0.636647206	0.06857213	0.311058772	0.405572	0.006522368
parahippocampal	0.06106446	0.010290314	0.1450337	0.031770745	0.8193692	0.740577066	0.5348342	0.181129169
superiorparietal	0.1434267	0.086267782	0.5939165	0.386063884	0.710867	0.533099155	0.6158018	0.012915538
superiortemporal	0.07510539	0.427196285	0.1875438	0.825768735	0.1220893	0.772035415	0.7644198	0.172607798
transversetemporal	0.3461081	0.146222606	0.5207041	0.783231582	0.37328456	0.130486115	0.3380866	0.627048387
bankssts	0.6725975	0.832888478	0.1901501	0.714921964	0.4437385	0.661360808	0.2744575	0.099571386
inferiorparietal	0.7096101	0.689384872	0.03907028	0.963842986	0.167543	0.689203891	0.6377477	0.029821806
postcentral	0.02181134	0.626252265	0.88874	0.647481316	0.2686233	0.436844986	0.7465679	0.198780624
caudalanteriorcingulate	0.9234119	0.815072924	0.27892235	0.006582687	0.429643	0.925855865	0.05608717	0.069172735
posteriorcingulate	0.5816807	0.239046782	0.01583439	0.008601293	0.7465679	0.307827204	0.405572	0.366093792
precentral	0.5496482	0.988820488	0.2146778	0.099674652	0.8870981	0.453483305	0.7240311	0.095487784
medialorbitofrontal	0.4652525	0.738106535	0.8476652	0.031181145	0.8630222	0.933907545	0.1159329	0.027901683
pericalcarine	0.7251187	0.683250311	0.3293725	0.447206399	0.12879752	0.0820567	0.8643264	0.405502335
fusiform	0.7236053	0.666308845	0.9255413	0.313310226	0.10492559	0.612634922	0.07846201	0.005158189
lateralorbitofrontal	0.7050843	0.573724544	0.7969319	0.579646299	0.0432271	0.12206664	0.08259403	0.025128504
middletemporal	0.6590192	0.905466251	0.7493918	0.767067696	0.02144736	0.819721531	0.2158906	0.006178412
paracentral	0.8887122	0.711499418	0.3873236	0.734857176	0.1292471	0.259096347	0.9539544	0.090030645
frontalpole	0.4360007	0.348052907	0.9570102	0.803230911	0.05781505	0.545568341	0.6072031	0.143023964
insula	0.9667752	0.909925428	0.724855	0.247975199	0.7046825	0.628505112	0.1707268	0.044695467
precuneus	0.3995217	0.913691396	0.5182381	0.421077691	0.9988008	0.98009143	0.6029591	0.002540591
rostralanteriorcingulate	0.3087615	0.91610285	0.3449778	0.918551025	0.9124832	0.425524839	0.2257456	0.057160509
rostralmiddlefrontal	0.5813665	0.998210952	0.34835006	0.507413445	0.2066448	0.935902024	0.9761356	0.046395805
supramarginal	0.244239	0.27057208	0.7077716	0.279981345	0.7399627	0.500582614	0.681936	0.000282233
entorhinal	0.8822996	0.97537413	0.7881021	0.41407361	0.9585103	0.928522846	0.4011642	0.129831442
caudalmiddlefrontal	0.9704931	0.750778207	0.8607963	0.313637654	0.6674747	0.511466551	0.2723985	0.388443736
cuneus	0.9671453	0.999809972	0.8325372	0.708138482	0.766756	0.950135938	0.8043444	0.473577044
superiorfrontal	0.8417272	0.995409527	0.6043141	0.548602067	0.7703966	0.678480056	0.5047871	0.495654156
lingual	0.7202423	0.894487061	0.5530458	0.778035063	0.575036	0.505190657	0.7138422	0.220844536
inferiortemporal	0.545538	0.293792598	0.359972	0.68519228	0.726344	0.762177213	0.60930651	0.371301473
temporalpole	0.8991476	0.932961918	0.9310713	0.597058177	0.640805	0.29571652	0.6554855	0.38722799
isthmuscingulate	0.4845936	0.601075255	0.9554449	0.551133022	0.7588402	0.695111579	0.8826925	0.360015225
lateraloccipital	0.7923186	0.493168243	0.8745084	0.427091768	0.4052218	0.542494539	0.4212827	0.5410203
